timestamp,btc_hashrate_thps
1613174,167285007.6061438
1613520,147040325.15699264
1613865,152267677.07260144
1614211,168466366.12287825
1614556,140388638.43573186
1614902,160906977.89941573
1615248,149267953.88308737
1615593,152466552.89486787
1615939,145003155.2007135
1616284,169563074.61598912
1616630,167389189.0439892
1616976,164128360.68598944
1617321,160517766.38346806
1617667,165624244.467784
1618012,180576433.20445892
1618358,155272729.1885475
1618704,145361065.33971703
1619049,167634131.8030608
1619395,133638398.78006244
1619740,169978665.11499172
1620086,185429301.3867602
1620432,175184588.60296133
1620777,176209059.88134116
1621123,164348929.98192218
1621468,139447576.95435822
1621814,156878524.07365298
1622160,148163050.51400563
1622505,148572947.38247102
1622851,137063775.4021388
1623196,131832333.59289683
1623542,136724465.12868512
1623888,128812374.13671976
1624233,104040763.72581212
1624579,108995085.80799364
1624924,89177797.47926754
1625270,98706076.21227616
1625616,87820755.10899657
1625961,89248734.86686642
1626307,91390704.5036712
1626652,115543619.13247934
1626998,91755226.95814537
1627344,115543619.13247934
1627689,112465862.1258896
1628035,98004603.29610927
1628380,113858289.12342106
1628726,108813934.5420037
1629072,124500915.7076194
1629417,123727618.0945286
1629763,119087832.41598378
1630108,123466373.91035248
1630454,119963781.7426829
1630800,143606278.8744525
1631145,125412870.36132078
1631491,145552163.4120438
1631836,134567094.4752858
1632182,113928907.4435182
1632528,135990412.4848306
1632873,122769122.38213871
1633219,141656679.6716985
1633564,139433297.2697835
1633910,144377740.43537864
1634256,139433297.2697835
1634601,154737198.72913387
1634947,144754153.64983496
1635292,156733807.7449937
1635638,140175299.14944655
1635984,153966937.6477702
1636329,145353402.67446837
1636675,152890245.77610743
1637020,169070703.34607086
1637366,163435013.23453516
1637712,176960669.50222084
1638057,155225116.619112
1638403,172098304.91522342
1638748,190973602.87366727
1639094,173208616.55983782
1639440,178007627.4567432
1639785,153952542.66529143
1640131,178007627.4567432
1640476,161682278.52670813
1640822,143583516.00506175
1641168,168921783.5353667
1641513,168921783.5353667
1641859,191422128.4364691
1642204,201114388.1041385
1642550,209595115.3133491
1642896,186746029.1281284
1643241,173501629.89918315
1643587,189394908.97391748
1643932,172445464.54596007
1644278,204326154.12338364
1644624,248110330.00696588
1644969,206979740.54057044
1645315,200196675.81507933
1645660,183513619.49715608
1646006,214099222.7466821
1646352,190365286.64550212
1646697,202691096.5721893
1647043,213647372.0625779
1647388,212277837.6262793
1647734,210160951.25482893
1648080,195149454.73662692
1648425,216984358.7631026
1648771,200371606.28467655
1649116,206055907.1721852
1649462,217424508.94720227
1649808,198950531.06279945
1650153,231514552.3256366
1650499,237127026.3214096
1650844,227305196.82880685
1651190,222163205.20796743
1651536,222163205.20796743
1651881,211795588.96492895
1652227,225257597.8912952
1652572,189527082.3637104
1652918,189527082.3637104
1653264,248560108.0179809
1653609,205096744.96660265
1653955,216986411.34147817
1654300,206582953.2634621
1654646,266405768.7361438
1654992,191184617.31646615
1655337,179141491.81621632
1655683,198711570.75412232
1656028,189622396.21199957
1656374,214611394.16241816
1656720,202851865.7151624
1657065,186682514.1001857
1657411,221726603.8502846
1657756,179699992.6629758
1658102,189844347.0874986
1658448,181711862.6387281
1658793,220256803.1984583
1659139,177582047.57875702
1659484,199607727.89860287
1659830,222690688.3419183
1660176,196079851.3702425
1660521,203082703.20489404
1660867,250867150.78611156
1661212,242410954.69219768
1661558,204358072.2695853
1661904,219862688.89188153
1662249,258699436.01770127
1662595,195564454.60861945
1662940,235601272.08754936
1663286,203901883.4393143
1663632,242133486.58418575
1663977,232575585.79796788
1664323,234283743.87934905
1664668,244753784.95094424
1665014,247871667.56178424
1665360,281762541.4868823
1665705,276154660.02324307
1666051,251371549.5083366
1666396,240750216.4305196
1666742,283822315.2658024
1667088,247200081.03795695
1667433,300302320.6683329
1667779,263186945.48747677
1668124,244879481.2695022
1668470,283256116.39382714
1668816,268636445.8702748
1669161,258991482.2471786
1669507,249807387.1320305
1669852,281033310.52353424
1670198,268175577.36232677
1670544,258748833.5821692
1670889,280878668.0332757
1671235,234916704.1732852
1671580,251387886.90897432
1671926,247871972.4067509
1672272,247871972.4067509
1672617,274241331.1734265
1672963,305064103.23047346
1673308,286421296.9219445
1673654,289810898.0689498
1674000,261608422.14007932
1674345,282163369.59394276
1674691,289637895.9408021
1675036,269948142.5149194
1675382,260167412.7136542
1675728,277772726.3559315
1676073,291465748.0777028
1676419,317275458.3617154
1676764,315328983.1570423
1677110,332847259.9991002
1677456,299630548.4861114
1677801,359556658.1833338
1678147,353136003.57291716
1678492,357219695.9219277
1678838,318250274.5486265
1679184,320415242.4026988
1679529,398152679.74955547
1679875,344632512.6727259
1680220,328332326.2625294
1680566,377232885.49311894
1680912,349935510.5526316
1681257,380882188.3566059
1681603,295183695.97636956
1681948,319313867.4340018
1682294,341432463.6274834
1682640,355961504.6329083
1682985,312374381.6166337
1683331,355568840.1119249
1683676,405682569.2552163
1684022,415228041.47298616
1684368,344768089.144806
1684713,354690591.1309403
1685059,376858753.076624
1685404,379321882.1817001
1685750,331093463.8956832
1686096,343827827.89167106
1686441,415140266.2692028
1686787,385148460.1631553
1687132,369534333.3997841
1687478,325294307.5702325
1687824,364329624.47866035
1688169,334845664.7949681
1688515,390233669.4978951
1688860,425480581.581576
1689206,321592673.51184636
1689552,364471696.6467593
1689897,300153161.94439
1690243,369831574.5386234
1690588,343365594.25571066
1690934,400593193.2983291
1691280,426605738.3177011
1691625,330756213.4390739
1691971,445348917.3077294
1692316,362008769.0396163
1692662,380936887.22817194
1693008,378799106.9943814
1693353,348384580.1554164
1693699,436863203.68695074
1694044,393005453.9397736
1694390,427999090.2494795
1694736,506061817.40190023
1695081,385677556.7313763
1695427,442953295.78705144
1695772,445792739.99081457
1696118,400361632.7306042
1696464,401774935.7811363
1696809,444516950.225938
1697155,393226532.892176
1697500,491483968.444345
1697846,455077748.5595787
1698192,436874638.6171956
1698537,415637677.0177486
1698883,447130946.6720681
1699228,394344654.35661566
1699574,478181706.85762835
1699920,443696225.3786205
1700265,479063315.80735093
1700611,456556985.5345224
1700956,492891191.48160595
1701302,452678810.6117344
1701648,523621012.2747674
1701993,456057010.69092655
1702339,481794448.2864064
1702684,508560806.52454
1703030,485140243.06617314
1703376,612085087.5512694
1703721,433112839.72926086
1704067,554813968.2482265
1704412,493963403.98874366
1704758,553078468.1633366
1705104,578549187.0919114
1705449,440279570.0510773
1705795,489551347.763542
1706140,632919956.7514365
1706486,545500073.2222326
1706832,676117474.0216229
1707177,638049611.833403
1707523,570491417.639278
1707868,521699388.49907666
1708214,491572989.4556458
1708560,548449203.1116709
1708905,540324029.7322387
1709251,608054004.3789
1709596,658743347.9554589
1709942,642965064.1720946
1710288,631131351.3345715
1710633,609268716.2671757
1710979,500768807.8908293
1711324,550845688.6799122
1711670,595046224.9834774
1712016,611575286.7885739
1712361,640501144.9474928
1712707,626404079.729565
1713052,674220573.4624075
1713398,622687790.7773827
1713744,652748580.6769805
1714089,578118168.6740619
1714435,617535316.5382024
1714780,617535316.5382024
1715126,556219753.1939834
1715472,545599184.5546882
1715817,586932456.1118613
1716163,644799036.2919042
1716508,671140034.7624127
1716854,562079779.1135205
1717200,591442155.634376
1717545,515938901.7236049
1717891,636721355.302943
1718236,603428735.4178218
1718582,582620847.9896209
1718928,582332779.002438
1719273,515780461.4021594
1719619,653044616.4527341
1719964,603130378.2525251
1720310,557193590.72128
1720656,553241863.127512
1721001,604614321.8464954
1721347,599556361.5235602
1721692,689285885.0168821
1722038,628106664.4532535
1722384,613215974.0238556
1722729,644509048.8165007
1723075,581410260.8204794
1723420,617466711.1039201
1723766,613213426.3989986
1724112,647760661.689083
1724457,660715874.9228647
1724803,703794017.3679069
1725148,631567802.399059
1725494,689387389.9426349
1725840,644910784.1398844
1726185,566627672.3067043
1726531,691009356.4715909
1726876,621908420.8244318
1727222,657005311.2676694
1727568,681164035.1378452
1727913,694347855.1727712
1728259,681164035.1378452
1728604,640613423.0024583
1728950,713826385.6313109
1729296,791615158.4244666
1729641,718143298.2753785
1729987,765702457.1015625
1730332,751434709.4537071
1730678,720519107.2542773
1731024,717510664.7072663
1731369,737722232.7271894
1731715,793304044.7819778
1732060,747470602.2973549
1732406,681367759.9173166
1732752,722046432.1511863
1733097,649582756.2207783
1733443,702558736.3396405
1733788,795544451.4434165
1734134,821373816.7500207
1734480,776835370.7386113
1734825,836176961.5589218
1735171,706704399.7691535
1735516,867710155.9849901
1735862,774936114.1501169
1736208,731277741.5219413
1736553,753106927.8360293
1736899,763192579.4414012
1737244,823589114.5051093
1737590,746720797.1512991
1737936,841602268.6110247
1738281,671743783.1087936
1738627,703987484.6980155
1738972,859832042.3792553
1739318,754813012.7554775
1739664,856968157.3389257
1740009,737787155.324903
1740355,714530229.8374169
1740700,857436275.8049003
1741046,802472411.9712528
1741392,753004934.5209701
1741737,852972260.0961236
1742083,808372403.3590714
1742428,791647457.0826768
1742774,870857131.0489082
1743120,870857131.0489082
1743465,763413718.7766403
1743811,948981343.907835
1744156,791264255.7881161
1744502,1038911847.29432
1744848,924148329.2792498
1745193,771877846.401681
1745539,882146110.1733494
1745884,894398139.4813126
1746230,999957994.459352
1746576,894116485.453914
1746921,882273882.9975705
1747267,864509979.3130558
1747612,852722089.09428
1747958,937389530.5646338
1748304,852722089.09428
1748649,1016284104.8877772
1748995,795352777.73826
1749340,965785515.8250304
1749686,934223897.6608136
1750032,917456209.4405266
1750377,948875942.6405448
1750723,735221756.880422
1751068,911172262.800523
1751414,889547992.701345
1751760,930246266.8772236
1752105,994200697.7250328
1752451,910161831.228891
1752796,903884853.0824848
1753142,941546721.960922
1753488,970032969.1338756
1753833,869131963.3112651
1754179,983324484.0382924
1754524,1021388657.6139684
1754870,945836287.6602162
1755216,862190901.6766596
1755561,862190901.6766596
1755907,980001769.6141684
1756252,967107009.4876657
1756598,851054168.3491462
1756944,902633208.8551546
1757289,1082012601.5468135
1757635,811509451.1601102
1757980,1082012601.5468135
1758326,1082611043.2192645
1758672,1082611043.2192645
1759017,1167521713.2756777
1759363,1019764936.475331
1759708,922287405.7828364
1760054,989771850.1084098
1760400,1267207899.0024335
1760745,1203393599.4625034
1761091,1115874064.956139
1761436,1072114297.7029574
1761782,1240553837.666823
1762128,1100991530.929305
1762473,1100991530.929305
1762819,1186279607.2688992
1763424,1006737198.683799
1763769,1082431724.900626
1764115,1241390229.9559624
1764460,1239441135.1156871
1764806,979678022.9656932
1765152,1098426874.2342618
1765497,1068190154.384884
1765843,1082923811.686744
1766188,1082923811.686744
1766534,1171325755.4979067
1766880,1142344841.882498
1767225,1112864974.9952078
1767571,972835607.2805792
1767916,1033929118.9983668
1768262,982960782.146335
1768608,1084897455.850399
1768953,997523164.104058
1769299,760574860.3057833
1769644,901422056.658706
1769990,830998458.4822448
1770336,1021142173.5586904
1770681,900973830.4794524
